28 bioResultsHMM.csv Control1protein.fasta sequence10.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence10.fasta-align.hmm
113 bioResultsHMM.csv Obese1protein.fasta sequence10.fasta-align.hmm
106 bioResultsHMM.csv Obese2protein.fasta sequence10.fasta-align.hmm
25 bioResultsHMM.csv Control1protein.fasta sequence1.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence1.fasta-align.hmm
15 bioResultsHMM.csv Obese1protein.fasta sequence1.fasta-align.hmm
14 bioResultsHMM.csv Obese2protein.fasta sequence1.fasta-align.hmm
25 bioResultsHMM.csv Control1protein.fasta sequence2.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence2.fasta-align.hmm
29 bioResultsHMM.csv Obese1protein.fasta sequence2.fasta-align.hmm
28 bioResultsHMM.csv Obese2protein.fasta sequence2.fasta-align.hmm
25 bioResultsHMM.csv Control1protein.fasta sequence6.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence6.fasta-align.hmm
33 bioResultsHMM.csv Obese1protein.fasta sequence6.fasta-align.hmm
31 bioResultsHMM.csv Obese2protein.fasta sequence6.fasta-align.hmm
31 bioResultsHMM.csv Control1protein.fasta sequence8.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence8.fasta-align.hmm
51 bioResultsHMM.csv Obese1protein.fasta sequence8.fasta-align.hmm
51 bioResultsHMM.csv Obese2protein.fasta sequence8.fasta-align.hmm
28 bioResultsHMM.csv Control1protein.fasta sequence9.fasta-align.hmm
33 bioResultsHMM.csv Control2protein.fasta sequence9.fasta-align.hmm
64 bioResultsHMM.csv Obese1protein.fasta sequence9.fasta-align.hmm
71 bioResultsHMM.csv Obese2protein.fasta sequence9.fasta-align.hmm


